Item Name,Cuisine,Course,Nutritional Profile,Preparation Method,Spiciness Level,Vegan/Vegetarian/Contains-Egg/Non-Veg,Allergens,Flavor Profile,Dietary Restrictions
Achari Masala Powder Recipe,Indian,Spice,"Vegetarian, Aromatic, Flavorful",Prepared,None,Vegetarian,None,"Aromatic, Flavorful",None
Konkani Style Alasande Randayi Recipe-Black Eyed Beans and Yam Gravy,Indian,Main Dish,"Vegetarian, Protein-rich, Regional",Cooked,Mild,Vegetarian,None,"Protein-rich, Regional",None
Sweet And Spicy Tofu Salad With Beetroot Recipe,Asian,Salad,"Vegetarian, Sweet, Spicy",Assembled,Spicy,Vegetarian,None,"Sweet, Spicy",None
Madras Lamb Curry Recipe,Indian,Main Dish,"Non-Vegetarian, Spicy, Flavorful",Cooked,Spicy,Non-Veg,None,"Spicy, Flavorful",None
Moolangi Tovve Recipe - Radish Curry,Indian,Main Dish,"Vegetarian, Comfort Food, Regional",Cooked,Mild,Vegetarian,None,"Comforting, Regional",None
Carrot And Broccoli Poriyal Recipe,Indian,Side Dish,"Vegetarian, Nutrient-rich, Stir-fried",Stir-fried,Mild,Vegetarian,None,"Nutrient-rich, Stir-fried",None
Cabbage & Buttermilk Curry Recipe,Indian,Main Dish,"Vegetarian, Tangy, Comfort Food",Cooked,Mild,Vegetarian,Dairy,"Tangy, Comforting",None
Kheel Paniyaram Recipe (Puffed Rice Paniyaram),Indian,Snack,"Vegetarian, Crunchy, Regional",Cooked,None,Vegetarian,None,"Crunchy, Regional",None
Dhaba Style Dal Fry Recipe,Indian,Main Dish,"Vegetarian, Protein-rich, Flavorful",Cooked,Mild,Vegetarian,None,"Protein-rich, Flavorful",None
Ragi Onion Uttapam Recipe - Wholesome Breakfast Recipe,Indian,Breakfast,"Vegetarian, Nutrient-rich, Regional",Cooked,Mild,Vegetarian,None,"Nutrient-rich, Regional",None
Sabudana Vada Recipe - Deep Fried Sago Patties/Cutlets,Indian,Snack,"Vegetarian, Deep-fried, Tapioca-based",Deep-fried,None,Vegetarian,None,"Deep-fried, Tapioca-based",None
"Ragi, Wheat & Oat Waffles Recipe With Maple Syrup",Western,Breakfast,"Vegetarian, Whole Grain, Sweet",Baked,None,Vegetarian,None,"Whole Grain, Sweet",None
Oats and Vegetable Kebab Recipe,Indian,Appetizer,"Vegetarian, Healthy, Baked",Baked,None,Vegetarian,None,"Healthy, Baked",None
Chana Methi Dal (Recipe In Hindi),Indian,Main Dish,"Vegetarian, Protein-rich, Flavorful",Cooked,Mild,Vegetarian,None,"Protein-rich, Flavorful",None
Creamy Alfredo Cauliflower Pasta Recipe,Italian,Main Dish,"Vegetarian, Creamy, Pasta-based",Cooked,Mild,Vegetarian,Dairy,"Creamy, Pasta-based",None
Nolen Gurer Payesh Recipe,Indian,Dessert,"Vegetarian, Sweet, Regional",Cooked,None,Vegetarian,None,"Sweet, Regional",None
Akuri Recipe (Parsi Style Seasoned Scrambled Eggs),Indian,Breakfast,"Non-Vegetarian, Spicy, Egg-based",Cooked,Spicy,Contains-Egg,None,"Spicy, Egg-based",None
Gujarati Mooli Bajra Muthia Recipe - Radish And Bajra-Besan Dmplings,Indian,Snack,"Vegetarian, Steamed, Regional",Steamed,None,Vegetarian,None,"Steamed, Regional",None
Spicy Chana Chaat Frankie Recipe,Indian,Snack,"Vegetarian, Spicy, Street Food",Assembled,Spicy,Vegetarian,None,"Spicy, Street Food",None
Chow Chow Milagu Kootu Recipe-Chayote Squash Cooked in Peppery Lentil Curry,Indian,Main Dish,"Vegetarian, Comfort Food, Spicy",Cooked,Spicy,Vegetarian,None,"Comforting, Spicy",None
Panjiri Recipe - Healthy Punjabi Dry Fruit Snack,Indian,Snack,"Vegetarian, Nutrient-rich, Regional",Prepared,None,Vegetarian,None,"Nutrient-rich, Regional",None
Overnight Oats Recipe (No Cook Blueberry Vanilla and Chia seeds Oatmeal),Western,Breakfast,"Vegetarian, No-cook, Nutrient-rich",Assembled,None,Vegetarian,None,"No-cook, Nutrient-rich",None
Matar Poha (Recipe In Hindi),Indian,Breakfast,"Vegetarian, Light, Regional",Cooked,Mild,Vegetarian,None,"Light, Regional",None
Baked Lebanese Pumpkin Kibbi Recipe,Lebanese,Main Dish,"Vegetarian, Baked, Pumpkin-based",Baked,None,Vegetarian,None,"Baked, Pumpkin-based",None
Cheese Garlic Naan Recipe,Indian,Bread,"Vegetarian, Cheesy, Garlic-flavored",Baked,None,Vegetarian,Dairy,"Cheesy, Garlic-flavored",None
Andhra Style Green Chilli Chicken Recipe,Indian,Main Dish,"Non-Vegetarian, Spicy, Regional",Cooked,Spicy,Non-Veg,None,"Spicy, Regional",None
Paneer Biryani Recipe,Indian,Main Dish,"Vegetarian, Aromatic, Flavorful",Cooked,Mild,Vegetarian,Dairy,"Aromatic, Flavorful",None
Ilish Pulao Recipe - Bengali Style Hilsa Fish Pilaf,Indian,Main Dish,"Non-Vegetarian, Seafood, Flavorful",Cooked,Mild,Non-Veg,None,"Flavorful, Seafood",None
Nihari Gosht Recipe,Indian,Main Dish,"Non-Vegetarian, Flavorful, Rich",Cooked,Mild,Non-Veg,None,"Flavorful, Rich",None
Nankhatai Recipe - A Spiced Eggless Indian Cookie,Indian,Dessert,"Vegetarian, Spiced, Sweet",Baked,None,Vegetarian,None,"Spiced, Sweet",None
Chickpea Flour Crepes Recipe With Salad And Chutney Spread,Indian,Breakfast,"Vegetarian, Gluten-free, Savory",Cooked,None,Vegetarian,None,"Savory, Gluten-free",None
Tamil Nadu Style Paneer Kurma Recipe,Indian,Main Dish,"Vegetarian, Creamy, Flavorful",Cooked,Mild,Vegetarian,Dairy,"Creamy, Flavorful",None
Pudina Buttermilk Recipe,Indian,Beverage,"Vegetarian, Refreshing, Minty",Assembled,None,Vegetarian,Dairy,"Refreshing, Minty",None
Mushroom And Quail Egg Gougere Recipe,Western,Appetizer,"Vegetarian, Mushroom-flavored",Baked,None,Vegetarian,None,Mushroom-flavored,None
Kashmiri Paneer Gravy Recipe,Indian,Main Dish,"Vegetarian, Creamy, Flavorful",Cooked,Mild,Vegetarian,Dairy,"Creamy, Flavorful",None
Spicy Onion Tomato Masala Sandwich Recipe,Western,Sandwich,"Vegetarian, Spicy, Tangy",Assembled,Spicy,Vegetarian,None,"Spicy, Tangy",None
Crispy Oven Roasted Curried Chickpeas Recipe,Western,Snack,"Vegetarian, Crunchy, Spicy",Baked,Spicy,Vegetarian,None,"Crunchy, Spicy",None
Rose Flavoured Shahi Tukda Recipe,Indian,Dessert,"Vegetarian, Sweet, Floral",Prepared,None,Vegetarian,Dairy,"Sweet, Floral",None
Watermelon Rasam Recipe,Indian,Soup,"Vegetarian, Tangy, Refreshing",Cooked,None,Vegetarian,None,"Tangy, Refreshing",None
Bannada Saute Majjige Huli Recipe (Malabar Cucumber Mor Kuzhambu),Indian,Main Dish,"Vegetarian, Comfort Food, Tangy",Cooked,None,Vegetarian,Dairy,"Comforting, Tangy",None
Tamatar Gosht Recipe-Mutton In Tomato Curry,Indian,Main Dish,"Non-Vegetarian, Spicy, Tangy",Cooked,Spicy,Non-Veg,None,"Spicy, Tangy",None
Masala Chaas Recipe,Indian,Beverage,"Vegetarian, Refreshing, Spiced",Assembled,None,Vegetarian,Dairy,"Refreshing, Spiced",None
Karnataka Style Harive Soppu Bendi Recipe (Amaranth Leaves Cooked in Coconut Broth),Indian,Main Dish,"Vegetarian, Coconut-infused, Comfort Food",Cooked,Mild,Vegetarian,Coconut,"Coconut-infused, Comforting",None
Matar Masala Recipe,Indian,Main Dish,"Vegetarian, Flavorful, Protein-rich",Cooked,Mild,Vegetarian,None,"Flavorful, Protein-rich",None
Pesara Pappu Pulusu Recipe,Indian,Main Dish,"Vegetarian, Tangy, Lentil-based",Cooked,Mild,Vegetarian,None,"Tangy, Lentil-based",None
Moong Bhajji Recipe-Moong Fritters,Indian,Snack,"Vegetarian, Deep-fried, Crispy",Deep-fried,None,Vegetarian,None,"Deep-fried, Crispy",None
Kumror Chokka Recipe - Kaddu Kala Chana Sabzi,Pumpkin Chickpea Curry,Indian,Main Dish,"Vegetarian, Comfort Food, Regional",Cooked,Mild,Vegetarian,None,Moderate
Spicy Jalapeno Scrambled Eggs Recipe,Western,Breakfast,"Vegetarian, Spicy, Egg-based",Cooked,Spicy,Contains-Egg,None,"Spicy, Egg-based",None
"Oats, Peas & Tofu Stuffed Paratha Recipe",Indian,Main Dish,"Vegetarian, Nutrient-rich, Stuffed",Cooked,Mild,Vegetarian,None,"Nutrient-rich, Stuffed",None
Plum Galette Recipe With A Flaky Whole Wheat Pie Crust,Western,Dessert,"Vegetarian, Flaky, Fruity",Baked,None,Vegetarian,None,"Flaky, Fruity",None
Vadyancho Ross Recipe (Ash Gourd Chips Curry),Indian,Main Dish,"Vegetarian, Regional, Comfort Food",Cooked,Mild,Vegetarian,None,"Regional, Comforting",None
Kadale Chutney Recipe - Fried Gram Chutney,Indian,Condiment,"Vegetarian, Crunchy, Spicy",Blended,Spicy,Vegetarian,None,"Crunchy, Spicy",None
Spicy Potato Roast Recipe (Recipe In Hindi),Indian,Side Dish,"Vegetarian, Spicy, Comfort Food",Cooked,Spicy,Vegetarian,None,"Spicy, Comfort Food",None
Roasted Tomato And Mozzarella Caprese Salad With Basil Balsamic Vinegar Recipe,Italian,Appetizer,"Vegetarian, Fresh, Tangy",Assembled,None,Vegetarian,Dairy,"Fresh, Tangy",None
Sichuan Dan-Dan Noodles Recipe (Sesame Noodles With Crispy Tofu Recipe),Chinese,Main Dish,"Vegetarian, Spicy, Savory",Cooked,Spicy,Vegetarian,None,"Spicy, Savory",None
Spaghetti Pasta Recipe in Basil Pesto Sauce,Italian,Main Dish,"Vegetarian, Flavorful, Pasta-based",Cooked,None,Vegetarian,Dairy,"Flavorful, Pasta-based",None
Chicken Xacuti Recipe - Goan Chicken Gravy,Indian,Main Dish,"Non-Vegetarian, Spicy, Flavorful",Cooked,Spicy,Non-Veg,None,"Spicy, Flavorful",None
Punjabi Mixed Vegetable Kadai Recipe,Indian,Main Dish,"Vegetarian, Flavorful, Regional",Cooked,Mild,Vegetarian,None,"Flavorful, Regional",None
Soya Chunks Sabzi (Recipe In Hindi),Indian,Main Dish,"Vegetarian, Protein-rich, Flavorful",Cooked,Mild,Vegetarian,None,"Protein-rich, Flavorful",None
Veg Makhanwala Recipe,Indian,Main Dish,"Vegetarian, Creamy, Flavorful",Cooked,Mild,Vegetarian,Dairy,"Creamy, Flavorful",None
Goan Vegetable Curry Recipe,Indian,Main Dish,"Vegetarian, Coconut-infused, Flavorful",Cooked,Mild,Vegetarian,Coconut,"Flavorful, Coconut-infused",None
Chicken Rendang Recipe - Malaysian-Indonesian Chicken Stew,Malaysian-Indonesian,Main Dish,"Non-Vegetarian, Spicy, Coconut-infused",Cooked,Spicy,Non-Veg,Coconut,"Spicy, Coconut-infused",None
Chocolate And Oats Christmas Cookie Cake Recipe,Western,Dessert,"Vegetarian, Chocolatey, Sweet",Baked,None,Vegetarian,None,"Chocolatey, Sweet",None
Nepalese Mutton Curry Recipe,Nepalese,Main Dish,"Non-Vegetarian, Spicy, Flavorful",Cooked,Spicy,Non-Veg,None,"Spicy, Flavorful",None
Beetroot Stew with Coconut Milk Recipe (With a South Indian Flavor),Indian,Main Dish,"Vegetarian, Comfort Food, Coconut-infused",Cooked,Mild,Vegetarian,Coconut,"Comforting, Coconut-infused",None
Stuffed Jacket Potatoes Recipe,Western,Main Dish,"Vegetarian, Stuffed, Comfort Food",Baked,None,Vegetarian,Dairy,Comforting,None
Palak Puri Recipe (Crispy Spinach Puri Snack),Indian,Snack,"Vegetarian, Deep-fried, Spinach-infused",Deep-fried,None,Vegetarian,None,"Deep-fried, Spinach-infused",None
Guilt Free Fruit Cream Recipe,Western,Dessert,"Vegetarian, Light, Fruity",Prepared,None,Vegetarian,Dairy,"Light, Fruity",None
Greek Style Gigantes Plaki Recipe-Oven Baked Broad Beans with Vegetables,Greek,Main Dish,"Vegetarian, Baked, Flavorful",Baked,None,Vegetarian,None,"Baked, Flavorful",None
Laal Maas Biryani Recipe,Indian,Main Dish,"Non-Vegetarian, Spicy, Flavorful",Cooked,Spicy,Non-Veg,None,"Spicy, Flavorful",None
Makhana Badam Mixture Recipe - Healthy Snack/ Trail Mix,Indian,Snack,"Vegetarian, Nutrient-rich, Crunchy",Prepared,None,Vegetarian,Nut,"Nutrient-rich, Crunchy",None
Ridge Gourd Pachadi Recipe - Ridge Gourd Chutney,Indian,Side Dish,"Vegetarian, Tangy, Regional",Blended,None,Vegetarian,None,"Tangy, Regional",None
Kashmiri Style Rista Recipe - Mutton Kofta Curry,Indian,Main Dish,"Non-Vegetarian, Flavorful, Rich",Cooked,Mild,Non-Veg,None,"Flavorful, Rich",None
Ayala Fish Fry Recipe,Indian,Main Dish,"Non-Vegetarian, Spicy, Seafood",Fried,Spicy,Non-Veg,Fish,"Spicy, Seafood",None
Irish Cream Bundt Cake Recipe,Western,Dessert,"Vegetarian, Creamy, Sweet",Baked,None,Vegetarian,Dairy,"Creamy, Sweet",None
Aubergine in Spicy Peanut Sauce Recipe,Asian,Main Dish,"Vegetarian, Spicy, Peanut-infused",Cooked,Spicy,Vegetarian,Peanut,"Spicy, Peanut-infused",None
Paneer Cheese Puffs Recipe,Indian,Snack,"Vegetarian, Cheesy, Puffy",Baked,None,Vegetarian,Dairy,"Cheesy, Puffy",None
Rajasthani Kadhi Recipe,Indian,Main Dish,"Vegetarian, Tangy, Yogurt-based",Cooked,Mild,Vegetarian,Dairy,"Tangy, Yogurt-based",None
Matkiche Vade Recipe - Moth Beans Fritters,Indian,Snack,"Vegetarian, Deep-fried, Crispy",Deep-fried,None,Vegetarian,None,"Deep-fried, Crispy",None
Halloumi Bruschetta Recipe with Tomato and Roasted Red Capsicum,Mediterranean,Appetizer,"Vegetarian, Cheesy, Tangy",Assembled,None,Vegetarian,Dairy,"Cheesy, Tangy",None
Egg Kothu Paratha Recipe,Indian,Main Dish,"Non-Vegetarian, Spicy, Egg-based",Cooked,Spicy,Contains-Egg,None,"Spicy, Egg-based",None
Moru Kachiyathu Recipe - Kerala Style Seasoned Buttermilk,Indian,Side Dish,"Vegetarian, Tangy, Refreshing",Cooked,None,Vegetarian,Dairy,"Tangy, Refreshing",None
Dal Vada with Oats and Vegetable Recipe,Indian,Snack,"Vegetarian, Crunchy, Protein-rich",Deep-fried,None,Vegetarian,None,"Crunchy, Protein-rich",None
Maharastrian Varan Phal Recipe,Indian,Main Dish,"Vegetarian, Comfort Food",Cooked,Mild,Vegetarian,None,Comforting,None
Asian Style Bean Sprout & Corn Salad Recipe,Asian,Salad,"Vegetarian, Crunchy, Refreshing",Assembled,None,Vegetarian,None,"Crunchy, Refreshing",None
Tres Leches Recipe - Mexican Three Milk Cake,Mexican,Dessert,"Vegetarian, Creamy, Sweet",Prepared,None,Vegetarian,Dairy,"Creamy, Sweet",None
Vegan Chocolate Mocha Banana Cake Recipe,Western,Dessert,"Vegan, Chocolatey, Mocha-infused",Baked,None,Vegan,None,"Chocolatey, Mocha-infused",Vegan
Baked Jaggery Rasgulla Recipe,Indian,Dessert,"Vegetarian, Sweet, Baked",Baked,None,Vegetarian,Dairy,"Sweet, Baked",None
Crispy Corn And Bell Peppers Chaat Recipe,Indian,Snack,"Vegetarian, Crispy, Spicy",Cooked,Spicy,Vegetarian,None,"Crispy, Spicy",None
"Gujarati Badshahi Pulao Recipe - A Rich Preparation Of Rice, Vegetables, Nuts And Spices",Indian,Main Dish,"Vegetarian, Flavorful, Nutty",Cooked,Mild,Vegetarian,Nut,"Flavorful, Nutty",None
Homemade Sev Recipe - Gram Flour Vermicelli Snack,Indian,Snack,"Vegetarian, Crunchy, Savory",Fried,None,Vegetarian,None,"Crunchy, Savory",None
Masala French Toast Recipe,Western,Breakfast,"Vegetarian, Spicy, Egg-based",Cooked,Spicy,Contains-Egg,None,"Spicy, Egg-based",None
Raw Banana Thoran Recipe,Indian,Side Dish,"Vegetarian, Coconut-infused, Regional",Cooked,Mild,Vegetarian,Coconut,"Coconut-infused, Regional",None
Hunan Style Smacked Cucumber Pickles Recipe,Chinese,Side Dish,"Vegetarian, Spicy, Refreshing",Assembled,Spicy,Vegetarian,None,"Spicy, Refreshing",None
Creamy Kulfi Kebab Recipe With Tandoori Mayo Recipe,Indian,Dessert,"Vegetarian, Creamy, Sweet",Prepared,None,Vegetarian,Dairy,"Creamy, Sweet",None
Spinach Sun Dried Tomato Pasta Recipe,Italian,Main Dish,"Vegetarian, Flavorful, Pasta-based",Cooked,None,Vegetarian,Dairy,"Flavorful, Pasta-based",None
Moong Dal Sookhi Sabzi Recipe,Indian,Side Dish,"Vegetarian, Protein-rich, Dry",Cooked,Mild,Vegetarian,None,"Protein-rich, Dry",None
Gajar Vadi Recipe,Indian,Snack,"Vegetarian, Spicy, Crunchy",Fried,Spicy,Vegetarian,None,"Spicy, Crunchy",None
Broccoli And Aloo Poriyal Recipe (Recipe In Hindi),Indian,Side Dish,"Vegetarian, Comfort Food, Regional",Cooked,Mild,Vegetarian,None,"Comforting, Regional",None
"Roasted Cauliflower, Celery And Carrot Creamy Vegetable Soup Recipe",Western,Soup,"Vegetarian, Creamy, Comfort Food",Cooked,None,Vegetarian,Dairy,"Creamy, Comfort Food",None
Bengali Chapor Ghonto Recipe-Moong Dal With Vegetables,Indian,Main Dish,"Vegetarian, Flavorful, Regional",Cooked,Mild,Vegetarian,None,"Flavorful, Regional",None
Simple Steamed Indian Beet Salad Recipe,Indian,Appetizer,"Vegetarian, Healthy, Colorful",Steamed,None,Vegetarian,None,"Healthy, Colorful",None
Bhindi And Paneer Masala Recipe,Indian,Main Dish,"Vegetarian, Protein-rich, Flavorful",Cooked,Mild,Vegetarian,Dairy,"Flavorful, Protein-rich",None
Caramelized Onion Tart with Ricotta Cheese Recipe,French,Appetizer,"Vegetarian, Creamy, Savory",Baked,None,Vegetarian,Dairy,"Creamy, Savory",None
Assamese Machor Tenga Anja Recipe - Fish Curry With Kokum,Assamese,Main Dish,"Non-Vegetarian, Tangy, Spicy",Cooked,Spicy,Non-Veg,Fish,"Tangy, Spicy",None
Quick Chocolate Pudding Recipe,Western,Dessert,"Vegetarian, Decadent, Sweet",Prepared,None,Vegetarian,Dairy,"Decadent, Sweet",None
Kerala Thenga Chammanthi Recipe- Coconut Onion Chutney,Indian,Condiment,"Vegetarian, Coconut-infused, Spicy",Blended,Spicy,Vegetarian,Coconut,"Spicy, Coconut-infused",None
Potato Onion Cheela Recipe,Indian,Breakfast,"Vegetarian, Savory, Pancake-style",Pan-fried,None,Vegetarian,None,"Savory, Pancake-style",None
Pumpkin Dal With Garlic Tadka (Recipe In Hindi),Indian,Main Dish,"Vegetarian, Comfort Food, Flavorful",Cooked,Mild,Vegetarian,None,"Comforting, Flavorful",None
Nawabi Mixed Vegetable Gravy Recipe,Indian,Main Dish,"Vegetarian, Rich, Flavorful",Cooked,Mild,Vegetarian,None,"Rich, Flavorful",None
Cauliflower Leaves Chutney Recipe,Indian,Condiment,"Vegetarian, Tangy, Regional",Blended,None,Vegetarian,None,"Tangy, Regional",None
Lobia Kebabs Recipe (Black Eyed Bean Patties),Indian,Snack,"Vegetarian, Protein-rich, Spicy",Pan-fried,Spicy,Vegetarian,None,"Protein-rich, Spicy",None
Thai Pineapple Vegetarian Fried Rice Recipe (No Onion No Garlic),Thai,Main Dish,"Vegetarian, Flavorful, Pineapple-infused",Cooked,Mild,Vegetarian,None,"Flavorful, Pineapple-infused",None
Chinese Vegetable Dry Manchurian Balls Recipe (No Onion No Garlic),Chinese,Main Dish,"Vegetarian, Crispy, Flavorful",Fried,Spicy,Vegetarian,None,"Crispy, Flavorful",None
Peshawari Kala Chana Recipe,Pakistani,Main Dish,"Vegetarian, Spicy, Flavorful",Cooked,Spicy,Vegetarian,None,"Spicy, Flavorful",None
Peas Pulao Recipe - North Indian Matar Pulao,Indian,Main Dish,"Vegetarian, Fragrant, Rice-based",Cooked,Mild,Vegetarian,None,"Fragrant, Rice-based",None
Creamy Mushroom Mini Pie Recipe,Western,Appetizer,"Vegetarian, Creamy, Mushroom-infused",Baked,None,Vegetarian,Dairy,"Creamy, Mushroom-infused",None
Hara Dhania Paratha Recipe,Indian,Bread,"Vegetarian, Herb-infused, Breakfast",Cooked,None,Vegetarian,None,"Herb-infused, Breakfast",None
Watermelon Seeds And Pumpkin Seeds Podi Recipe,Indian,Condiment,"Vegetarian, Nutty, Spicy",Ground,Spicy,Vegetarian,None,"Nutty, Spicy",None
Gulachi Poli Recipe (Jaggery And Poppy Seeds Stuffed Paratha),Indian,Bread,"Vegetarian, Sweet, Stuffed",Cooked,None,Vegetarian,None,"Sweet, Stuffed",None
Dubki Wale Aloo Recipe - Potatoes In A Spicy North Indian Gravy,Indian,Main Dish,"Vegetarian, Spicy, Comfort Food",Cooked,Spicy,Vegetarian,None,"Spicy, Comfort Food",None
Paruppu Urundai Rasam Recipe - Dal Dumpling Rasam,Indian,Soup,"Vegetarian, Tangy, Protein-rich",Cooked,Spicy,Vegetarian,None,"Tangy, Protein-rich",None
Chinna Vengaya Puli Kuzhambu Recipe (Spicy Tangy Baby Onion Curry),Indian,Main Dish,"Vegetarian, Tangy, Spicy",Cooked,Spicy,Vegetarian,None,"Tangy, Spicy",None
Arachuvitta Sambar Recipe - Sambar With Fresh Ground Spices,Indian,Soup,"Vegetarian, Flavorful, Lentil-based",Cooked,Mild,Vegetarian,None,"Flavorful, Lentil-based",None
Rabodi Ki Sabzi (Recipe In Hindi),Indian,Main Dish,"Vegetarian, Regional, Comfort Food",Cooked,Mild,Vegetarian,None,"Regional, Comfort Food",None
Sweet and Spicy Pineapple Paneer Tikka Tawa Pizza Recipe,Indian,Main Dish,"Vegetarian, Sweet, Spicy",Baked,Spicy,Vegetarian,Dairy,"Sweet, Spicy",None
Healthy Whole Wheat Brown Butter Banana Bread Recipe,Western,Bread,"Vegetarian, Healthy, Fruity",Baked,None,Vegetarian,Dairy,"Healthy, Fruity",None
Maharastrian Batatyachi Bhaji Recipe-Quick and Simple Aloo Sabzi,Indian,Main Dish,"Vegetarian, Quick, Comfort Food",Cooked,Mild,Vegetarian,None,"Quick, Comfort Food",None
Mexican Style Sopa De Frijol Recipe - Red Kidney Beans Soup,Mexican,Soup,"Vegetarian, Hearty, Bean-based",Cooked,Mild,Vegetarian,None,"Hearty, Bean-based",None
Gopalkala Recipe - Janmashtami Special),Indian,Salad,"Vegetarian, Festive, Yogurt-based",Assembled,None,Vegetarian,Dairy,"Festive, Yogurt-based",None
Linzer Cookies Recipe,Austrian,Dessert,"Vegetarian, Sweet, Nutty",Baked,None,Vegetarian,None,"Sweet, Nutty",None
Chinese Style Sweet And Spicy Broccoli Stir Fry With Sausage Recipe (No Onion No Garlic),Chinese,Main Dish,"Non-Vegetarian, Spicy, Flavorful",Stir-fried,Spicy,Non-Veg,None,"Spicy, Flavorful",None
Alu Bukhara Murgh Recipe - Chicken With Indian Plums,Indian,Main Dish,"Non-Vegetarian, Sweet, Tangy",Cooked,Mild,Non-Veg,None,"Sweet, Tangy",None
Homemade Red Chilli Garlic Sauce Recipe,Western,Condiment,"Vegetarian, Spicy, Garlic-infused",Prepared,Spicy,Vegetarian,None,"Spicy, Garlic-infused",None
Peach Lassi Recipe - Peach Yogurt Smoothie,Indian,Beverage,"Vegetarian, Fruity, Refreshing",Blended,None,Vegetarian,Dairy,"Fruity, Refreshing",None
Masala Jowar Methi Roti Recipe,Indian,Bread,"Vegetarian, Spicy, Methi-infused",Cooked,Spicy,Vegetarian,None,"Spicy, Methi-infused",None
"Kesar Mawa Gujiya Recipe- Gujiya Stuffed With Saffron, Khoya & Nuts",Indian,Dessert,"Vegetarian, Sweet, Nutty",Fried,None,Vegetarian,"Dairy, Nut","Sweet, Nutty",None
Chocolate Rava Ladoo Recipe,Indian,Dessert,"Vegetarian, Sweet, Chocolatey",Prepared,None,Vegetarian,None,"Sweet, Chocolatey",None
Hearty Vegetable Tortilla Soup Recipe,Mexican,Soup,"Vegetarian, Hearty, Comfort Food",Cooked,Mild,Vegetarian,None,"Hearty, Comfort Food",None
Boondi Ki Kheer Recipe,Indian,Dessert,"Vegetarian, Sweet, Creamy",Prepared,None,Vegetarian,Dairy,"Sweet, Creamy",None
Suran Ja Tuk Recipe - Sindhi Deep Fried Yam / Jimikand,Indian,Snack,"Vegetarian, Crunchy, Regional",Deep-fried,None,Vegetarian,None,"Crunchy, Regional",None
Tofu Scramble Recipe,Western,Breakfast,"Vegan, Protein-rich, Tofu-based",Cooked,None,Vegan,None,"Protein-rich, Tofu-based",Vegan
Soulful Chicken Soup Recipe,Western,Soup,"Non-Vegetarian, Comfort Food, Soulful",Cooked,Mild,Non-Veg,None,"Comforting, Soulful",None
Malabar Parrot Recipe - Kerala Parrot Recipe,Indian,Main Dish,"Non-Vegetarian, Spicy, Coconut-infused",Cooked,Spicy,Non-Veg,Coconut,"Spicy, Coconut-infused",None
Lahori Aloo Recipe,Pakistani,Main Dish,"Vegetarian, Spicy, Regional",Cooked,Spicy,Vegetarian,None,"Spicy, Regional",None
Pinacolada Smoothie Recipe,Western,Beverage,"Vegetarian, Tropical, Refreshing",Blended,None,Vegetarian,None,"Tropical, Refreshing",None
Tangy Tamarind Pumpkin Curry Recipe,Indian,Main Dish,"Vegetarian, Tangy, Pumpkin-infused",Cooked,Mild,Vegetarian,None,"Tangy, Pumpkin-infused",None
Homemade Kit Kat Bars Recipe,Western,Dessert,"Vegetarian, Sweet, Chocolatey",Prepared,None,Vegetarian,None,"Sweet, Chocolatey",None
Kongunadu Chicken Curry Recipe,Indian,Main Dish,"Non-Vegetarian, Spicy, Regional",Cooked,Spicy,Non-Veg,None,"Spicy, Regional",None
Stuffed Mooli Paratha Recipe (Radish Flat Bread),Indian,Bread,"Vegetarian, Stuffed, Breakfast",Cooked,None,Vegetarian,None,"Stuffed, Breakfast",None
Vegan Hot Chocolate Recipe,Western,Beverage,"Vegan, Decadent, Chocolatey",Prepared,None,Vegan,None,"Decadent, Chocolatey",Vegan
"Roasted Pumpkin, Orange and Urad Dal Salad Recipe","Western, Indian",Salad,"Vegetarian, Nutrient-rich",Roasted,None,Vegetarian,None,"Nutty, Citrusy",None
Kothamalli Thogayal Recipe,Coriander Leaves Chutney,South Indian,Condiment,"Vegetarian, Tangy, Spicy",Ground,Spicy,Vegetarian,None,Low
Bottle Gourd & Mint Vegetable Juice Recipe - Lauki Juice,Indian,Beverage,"Vegetarian, Refreshing, Hydrating",Juiced,None,Vegetarian,None,"Refreshing, Hydrating",None
Kashmiri Style Noon Chai Recipe - Pink Tea,Kashmiri,Beverage,"Vegetarian, Aromatic, Warming",Brewed,Mild,Vegetarian,None,"Aromatic, Warming",None
Karnataka Style Mangrasa Recipe - Raw Mango Chutney Recipe,South Indian,Condiment,"Vegetarian, Tangy, Regional",Mixed,Spicy,Vegetarian,None,"Tangy, Regional",None
Huli Soppu Saaru Recipe - Karnataka Style Mixed Greens Sambar,South Indian,Main Dish,"Vegetarian, Spicy, Comfort Food",Cooked,Spicy,Vegetarian,None,"Spicy, Comfort Food",None
Andhra Style Aratikaya Vepudu Recipe - Raw Banana Dry Sabzi,South Indian,Side Dish,"Vegetarian, Spicy, Regional",Stir-fried,Spicy,Vegetarian,None,"Spicy, Regional",None
Mumbai Style Spicy Murmura Recipe (Spicy Roasted Puffed Rice),Indian,Snack,"Vegetarian, Spicy, Crunchy",Roasted,Spicy,Vegetarian,None,"Spicy, Crunchy",None
Cheesy Chicken Ala Kiev Recipe,Russian,Main Dish,"Non-Vegetarian, Cheesy, Rich",Baked,Mild,Non-Veg,Dairy,"Cheesy, Rich",None
